"","x"
"482",0
"483",1
"484",0
"485",1
"486",0
"487",0
"488",0
"489",1
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",1
"502",1
"503",1
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",1
"567",1
"568",1
"569",1
"570",1
"571",1
"572",1
"573",1
"574",0
"575",1
"576",1
"577",1
"578",1
"579",1
"580",0
"581",0
"582",1
"583",0
"584",1
"585",1
"586",1
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",0
"598",1
"599",0
"600",1
"601",1
"602",0
"603",1
"604",1
"605",1
"606",1
"607",0
"608",1
"609",1
"610",1
"611",1
"612",1
"613",1
"614",1
"615",1
"616",1
"617",0
"618",1
"619",1
"620",1
"621",0
"622",1
"623",1
"624",1
"625",1
"626",1
"627",1
"628",1
"629",1
"630",1
"631",0
"632",1
"633",1
"634",1
"635",1
"636",1
"637",1
"638",1
"639",1
"640",0
"641",0
"642",1
"643",1
"644",1
"645",1
"646",1
"647",1
"648",1
"649",1
"650",1
"651",1
"652",1
"653",1
"654",1
"655",1
"656",1
"657",1
"658",1
"659",1
"660",1
"661",1
"662",1
"663",1
"664",1
"665",1
"666",1
"667",1
"668",1
"669",1
"670",1
"671",0
"672",1
"673",1
"674",1
"675",1
"676",1
"677",0
"678",1
"679",1
"680",1
"681",1
"682",1
"683",1
"684",1
"685",1
"686",1
"687",1
"688",1
"689",0
"690",1
"691",1
"692",0
"693",1
"694",1
"695",1
"696",1
"697",1
"698",1
"699",1
"700",1
"701",1
"702",1
"703",1
"704",1
"705",1
"706",1
"707",1
"708",1
"709",1
"710",1
"711",1
"712",1
"713",1
"714",1
"715",1
"716",1
"717",1
"718",1
"719",1
"720",1
"721",1
"722",1
"723",1
"724",1
"725",1
"726",1
"727",1
"728",1
"729",1
"730",1
"731",1
"732",1
"733",1
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",1
"742",1
"743",1
"744",1
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",1
"761",1
"762",1
"763",1
"764",1
"765",1
"766",1
"767",1
"768",1
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",1
"782",1
"783",1
"784",1
"785",1
"786",1
"787",1
"788",1
"789",1
"790",0
"791",1
"792",1
"793",1
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",1
"803",1
"804",1
"805",1
"806",1
"807",1
"808",0
"809",0
"810",1
"811",1
"812",1
"813",1
"814",0
"815",1
"816",0
"817",1
"818",0
"819",1
"820",1
"821",1
"822",1
"823",1
"824",1
"825",1
"826",1
"827",1
"828",1
"829",1
"830",1
"831",1
"832",1
"833",1
"834",0
"835",1
"836",1
"837",1
"838",1
"839",1
"840",0
"841",0
"842",1
"843",0
"844",1
"845",0
"846",1
"847",0
"848",1
"849",0
"850",0
"851",1
"852",0
"853",1
"854",1
"855",1
"856",0
"857",0
"858",1
"859",0
"860",0
"861",1
"862",1
"863",1
"864",1
"865",1
"866",1
"867",1
"868",1
"869",0
"870",0
"871",1
"872",1
"873",0
"874",1
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",1
"882",0
"883",0
"884",1
"885",0
"886",0
"887",1
"888",0
"889",1
"890",1
"891",0
"892",0
"893",0
"894",0
"895",1
"896",1
"897",0
"898",1
"899",1
"900",0
"901",0
"902",1
"903",1
"904",0
"905",0
"906",1
"907",0
"908",1
"909",1
"910",1
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",0
"920",1
"921",1
"922",0
"923",1
"924",1
"925",1
"926",1
"927",0
"928",0
"929",1
"930",1
"931",1
"932",1
"933",1
"934",1
"935",1
"936",1
"937",1
"938",1
"939",1
"940",1
"941",1
"942",1
"943",0
"944",1
"945",1
"946",1
"947",1
"948",1
"949",1
"950",1
"951",1
"952",1
"953",0
"954",1
"955",0
"956",0
"957",1
"958",1
"959",1
"960",1
"961",1
"962",1
"963",1
"964",1
"965",1
"966",1
"967",1
"968",0
"969",1
"970",1
"971",1
"972",1
"973",0
"974",0
"975",0
"976",1
"977",1
"978",0
"979",1
"980",1
"981",0
"982",1
"983",0
"984",0
"985",0
"986",1
"987",1
"988",1
"989",0
"990",1
"991",1
"992",1
"993",0
"994",1
"995",1
"996",1
"997",1
"998",1
"999",1
"1000",1
"1001",0
"1002",1
"1003",0
"1004",1
"1005",1
"1006",1
"1007",1
"1008",0
"1009",1
"1010",1
"1011",1
"1012",0
"1013",1
"1014",1
"1015",1
"1016",1
"1017",1
"1018",0
"1019",1
"1020",1
"1021",1
"1022",1
"1023",0
"1024",1
"1025",1
"1026",0
"1027",1
"1028",1
"1029",0
"1030",1
"1031",1
"1032",1
"1033",1
"1034",1
"1035",1
"1036",0
"1037",1
"1038",1
"1039",1
"1040",0
"1041",1
"1042",1
"1043",0
"1044",1
"1045",0
"1046",1
"1047",1
"1048",1
"1049",1
"1050",1
"1051",1
"1052",1
"1053",0
"1054",0
"1055",1
"1056",1
"1057",1
"1058",1
"1059",1
"1060",1
"1061",1
"1062",1
"1063",1
"1064",1
"1065",1
"1066",1
"1067",1
"1068",1
"1069",1
"1070",1
"1071",1
"1072",1
"1073",1
"1074",1
"1075",1
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",1
"1082",1
"1083",1
"1084",1
"1085",0
"1086",0
"1087",0
"1088",0
"1089",0
"1090",0
"1091",0
"1092",1
"1093",1
"1094",1
"1095",1
"1096",1
"1097",1
"1098",1
"1099",1
"1100",1
"1101",1
"1102",1
"1103",1
"1104",1
"1105",1
"1106",1
"1107",1
"1108",1
"1109",1
"1110",1
"1111",1
"1112",1
"1113",1
"1114",1
"1115",1
"1116",1
"1117",1
"1118",1
"1119",1
"1120",1
"1121",1
"1122",0
"1123",1
"1124",1
"1125",0
"1126",0
"1127",1
"1128",0
"1129",0
"1130",1
"1131",1
"1132",0
"1133",1
"1134",0
"1135",1
"1136",0
"1137",0
"1138",0
"1139",0
"1140",1
"1141",1
"1142",0
"1143",1
"1144",1
"1145",0
"1146",0
"1147",0
"1148",0
"1149",1
"1150",0
"1151",1
"1152",1
"1153",1
"1154",0
"1155",1
"1156",0
"1157",1
"1158",1
"1159",0
"1160",1
"1161",1
"1162",1
"1163",1
"1164",0
"1165",0
"1166",1
"1167",1
"1168",1
"1169",1
"1170",1
"1171",1
"1172",1
"1173",0
"1174",1
"1175",1
"1176",1
"1177",0
"1178",0
"1179",1
"1180",0
"1181",1
"1182",1
"1183",1
"1184",0
"1185",1
"1186",1
"1187",0
"1188",0
"1189",1
"1190",1
"1191",1
"1192",1
"1193",1
"1194",1
"1195",1
"1196",1
"1197",0
"1198",0
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",1
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",1
"1220",1
"1221",1
"1222",1
"1223",1
"1224",0
"1225",1
"1226",0
"1227",0
"1228",1
"1229",1
"1230",0
"1231",0
"1232",0
"1233",1
"1234",1
"1235",1
"1236",0
"1237",0
"1238",0
"1239",0
"1240",1
"1241",1
"1242",1
"1243",1
"1244",1
"1245",1
"1246",1
"1247",0
"1248",1
"1249",1
"1250",1
"1251",1
"1252",0
"1253",0
"1254",1
"1255",1
"1256",0
"1257",1
"1258",1
"1259",1
"1260",1
"1261",0
"1262",1
"1263",1
"1264",1
"1265",0
"1266",1
"1267",1
"1268",1
"1269",0
"1270",0
"1271",0
"1272",1
"1273",0
"1274",1
"1275",1
"1276",0
"1277",1
"1278",1
"1279",1
"1280",1
"1281",1
"1282",1
"1283",1
"1284",1
"1285",1
"1286",1
"1287",0
"1288",1
"1289",1
"1290",1
"1291",0
"1292",1
"1293",0
"1294",0
"1295",1
"1296",1
"1297",0
"1298",1
"1299",1
"1300",1
"1301",1
"1302",1
"1303",0
"1304",1
"1305",1
"1306",1
"1307",0
"1308",0
"1309",0
"1310",1
"1311",1
"1312",0
"1313",0
"1314",0
"1315",0
"1316",1
"1317",0
"1318",1
"1319",0
"1320",1
"1321",1
"1322",0
"1323",0
"1324",1
"1325",1
"1326",1
"1327",1
"1328",1
"1329",1
"1330",0
"1331",1
"1332",0
"1333",0
"1334",1
"1335",1
"1336",1
"1337",0
"1338",1
"1339",0
"1340",1
"1341",1
"1342",1
"1343",0
"1344",0
"1345",1
"1346",1
"1347",1
"1348",1
"1349",1
"1350",0
"1351",0
"1352",1
"1353",0
"1354",0
"1355",1
"1356",1
"1357",0
"1358",1
"1359",1
"1360",0
"1361",1
"1362",1
"1363",1
"1364",1
"1365",1
"1366",0
"1367",1
"1368",1
"1369",0
"1370",1
"1371",1
"1372",1
"1373",1
"1374",1
"1375",1
"1376",1
"1377",0
"1378",1
"1379",0
"1380",1
"1381",1
"1382",0
"1383",1
"1384",1
"1385",0
"1386",0
"1387",1
"1388",0
"1389",1
"1390",0
"1391",1
"1392",1
"1393",0
"1394",1
"1395",0
"1396",0
"1397",1
"1398",1
"1399",1
"1400",1
"1401",0
"1402",1
"1403",1
"1404",0
"1405",0
"1406",0
"1407",1
"1408",1
"1409",1
"1410",0
"1411",0
"1412",1
"1413",1
"1414",1
"1415",0
"1416",0
"1417",1
"1418",0
"1419",1
"1420",1
"1421",0
"1422",0
"1423",0
"1424",1
"1425",1
"1426",1
"1427",1
"1428",1
"1429",1
"1430",1
"1431",1
